countrycode,group,groupvalue,sr,indicator,grouplabel,regid,value,ss,se,country,iso2,sp_pop_totl,theme,abs
SLE,location,1,ipa,govtsupport,Urban,,92.87532,1179,.74948037,Sierra Leone,SL,7977000,sp,3155739.8
NGA,location,1,wb,healthseeking,Urban,,12.178123,221,2.2048559,Nigeria,NG,206140000,hn,3970351.5
TCD,poor,1,wb,remotelearning,Poor,,88.504066,289,1.8795656,Chad,TD,16426000,ed,1192956.8
COL,all,,ipa,govtsupport,National average,,72.093025,1505,1.1565892,Colombia,CO,50883000,sp,9949247
RWA,all,,ipa,cashtransfer_delay,National average,,21.73913,46,6.1487546,Rwanda,RW,12952000,sp,1293002.4
MWI,location,1,wb,fsec,Urban,,67.72139,596,1.916734,Malawi,MW,19130000,hn,2379761
SLE,location,2,ipa,remotelearning,Rural,,35.051544,97,4.8697019,Sierra Leone,SL,7977000,ed,102173.61
MWI,all,,wb,fsec,National average,,77.273033,1624,1.0402206,Malawi,MW,19130000,hn,7399037.5
TCD,location,2,wb,govtsupport,Rural,,96.739304,32,3.1898913,Chad,TD,16426000,sp,1658911.6
NGA,all,,wb,schoolreturn,National average,,4.7702789,1039,.66154504,Nigeria,NG,206140000,ed,3307066.8
NGA,location,2,wb,healthseeking,Rural,,9.4608688,479,1.3386582,Nigeria,NG,206140000,hn,6685329.5
MEX,wealth,5,ipa,cashtransfer_delay,Richest 20%,,25,28,8.333333,Mexico,MX,128933000,sp,1523723.8
MLI,location,2,wb,govtsupport,Rural,,94.749992,638,.88368994,Mali,ML,20251000,sp,3483302.3
COL,wealth,1,ipa,remotelearning,Poorest 20%,,3.6585388,164,1.470505,Colombia,CO,50883000,ed,136043.27
RWA,wealth,5,ipa,fsec,Richest 20%,,40.784313,255,3.0835295,Rwanda,RW,12952000,hn,419371.06
ETH,all,,wb,govtsupport,National average,,96.391464,2770,.35442397,Ethiopia,ET,114964000,sp,51849208
COL,wealth,5,ipa,govtsupport,Richest 20%,,85,280,2.1377306,Colombia,CO,50883000,sp,2182415.5
CIV,wealth,1,ipa,fsec,Poorest 20%,,53.521126,284,2.9648123,Cote d'Ivoire,CI,26378000,hn,1466046.8
UGA,location,1,wb,govtsupport,Urban,,96.727043,562,.75121266,Uganda,UG,45741000,sp,6011280.5
RWA,wealth,1,ipa,remotelearning,Poorest 20%,,17.940201,301,2.2152269,Rwanda,RW,12952000,ed,292125.38
MEX,wealth,1,ipa,remotelearning,Poorest 20%,,9.8591537,142,2.5105629,Mexico,MX,128933000,ed,925699.75
ZMB,all,,ipa,govtsupport,National average,,97.169815,1272,.4651581,Zambia,ZM,18384000,sp,9141466
MEX,all,,ipa,schoolreturn,National average,,13.138687,411,1.6683887,Mexico,MX,128933000,ed,3822494.3
