countrycode,group,groupvalue,sr,round,indicator,grouplabel,regid,month,year,value,ss,se,disagreggation,last,country,iso2,sp_pop_totl,regioncode,regionname,theme,abs,modate,rr,ip,trends
ARM,all,0,wb,1,schoolreturn,National average,,9,2020,6.654747,938,.81422067,1,1,Armenia,AM,2963000,ECS,Europe and Central Asia,ed,34364.715,2020m9,,,
ARM,all,0,wb,1,remotelearning,National average,,9,2020,2.255455,912,.49193108,1,1,Armenia,AM,2963000,ECS,Europe and Central Asia,ed,11647.034,2020m9,,,
ARM,all,0,wb,1,healthseeking,National average,,9,2020,13.112366,240,2.183336,1,1,Armenia,AM,2963000,ECS,Europe and Central Asia,hn,94590.117,2020m9,,,
ARM,disability,1,wb,1,healthseeking,With disability,,9,2020,23.594406,26,8.4917479,1,1,Armenia,AM,2963000,ECS,Europe and Central Asia,hn,18438.936,2020m9,,,
ARM,disability,1,wb,1,schoolreturn,With disability,,9,2020,15.331314,45,5.4315624,1,1,Armenia,AM,2963000,ECS,Europe and Central Asia,ed,3798.1338,2020m9,,,
ARM,disability,0,wb,1,remotelearning,No disability,,9,2020,2.2203064,872,.49925461,1,1,Armenia,AM,2963000,ECS,Europe and Central Asia,ed,10962.655,2020m9,,,
ARM,disability,1,wb,1,remotelearning,With disability,,9,2020,3.0174332,40,2.7392602,1,1,Armenia,AM,2963000,ECS,Europe and Central Asia,ed,683.41418,2020m9,,,
ARM,disability,0,wb,1,healthseeking,No disability,,9,2020,12.003448,214,2.2268763,1,1,Armenia,AM,2963000,ECS,Europe and Central Asia,hn,77209.945,2020m9,,,
ARM,disability,0,wb,1,schoolreturn,No disability,,9,2020,6.2184448,893,.80856913,1,1,Armenia,AM,2963000,ECS,Europe and Central Asia,ed,30571.137,2020m9,,,
ARM,location,2,wb,1,remotelearning,Rural,,9,2020,2.4277191,477,.70543838,1,1,Armenia,AM,2963000,ECS,Europe and Central Asia,ed,6556.9692,2020m9,,,
ARM,location,1,wb,1,healthseeking,Urban,,9,2020,11.099327,114,2.9550285,1,1,Armenia,AM,2963000,ECS,Europe and Central Asia,hn,38032.508,2020m9,,,
ARM,location,1,wb,1,schoolreturn,Urban,,9,2020,6.4907837,443,1.1718302,1,1,Armenia,AM,2963000,ECS,Europe and Central Asia,ed,15829.938,2020m9,,,
ARM,location,2,wb,1,healthseeking,Rural,,9,2020,15.565292,126,3.2425311,1,1,Armenia,AM,2963000,ECS,Europe and Central Asia,hn,58949.656,2020m9,,,
ARM,location,1,wb,1,remotelearning,Urban,,9,2020,2.1342316,435,.69373095,1,1,Armenia,AM,2963000,ECS,Europe and Central Asia,ed,5256.748,2020m9,,,
ARM,location,2,wb,1,schoolreturn,Rural,,9,2020,6.8800964,495,1.1388198,1,1,Armenia,AM,2963000,ECS,Europe and Central Asia,ed,18748.998,2020m9,,,
ARM,region,9,wb,1,remotelearning,Syuniq,ARM.9_1,9,2020,0,87,0,1,1,Armenia,AM,2963000,ECS,Europe and Central Asia,ed,0,2020m9,,,
ARM,region,6,wb,1,schoolreturn,Kotayq,ARM.6_1,9,2020,2.5641022,78,1.8012825,1,1,Armenia,AM,2963000,ECS,Europe and Central Asia,ed,1101.0531,2020m9,,,
ARM,region,3,wb,1,healthseeking,Armavir,ARM.3_1,9,2020,25.925926,27,8.5943604,1,1,Armenia,AM,2963000,ECS,Europe and Central Asia,hn,21040.279,2020m9,,,
ARM,region,10,wb,1,schoolreturn,Tavush,ARM.10_1,9,2020,2.9702988,101,1.6976662,1,1,Armenia,AM,2963000,ECS,Europe and Central Asia,ed,1651.5808,2020m9,,,
ARM,region,4,wb,1,healthseeking,Aragatsotn,ARM.1_1,9,2020,,20,9.9339924,1,1,Armenia,AM,2963000,ECS,Europe and Central Asia,hn,,2020m9,,,
ARM,region,8,wb,1,healthseeking,Shirak,ARM.8_1,9,2020,,21,7.8246078,1,1,Armenia,AM,2963000,ECS,Europe and Central Asia,hn,,2020m9,,,
