countrycode,group,groupvalue,sr,round,indicator,grouplabel,regid,value,ss,se,month,year,disagreggation,last,country,iso2,sp_pop_totl,regioncode,regionname,theme,abs
BFA,location,1,wb,3,govtsupport,Urban,,97.574669,1334,.4213458,,,1,1,Burkina Faso,BF,20903000,SSF,Sub-Saharan Africa,sp,7011151
NGA,location,1,wb,3,cashtransfer_delay,Urban,,14.916142,36,6.0216818,,,1,1,Nigeria,NG,206140000,SSF,Sub-Saharan Africa,sp,5383641
BFA,poor,1,wb,3,fsec,Poor,,55.448109,528,2.165066,,,1,1,Burkina Faso,BF,20903000,SSF,Sub-Saharan Africa,hn,2209281.5
ETH,all,,wb,3,fsec,National average,,52.765316,3054,.9035275,,,1,,Ethiopia,ET,114964000,SSF,Sub-Saharan Africa,hn,31337832
COL,wealth,5,ipa,1,govtsupport,Richest 20%,,85,280,2.1377306,,,1,1,Colombia,CO,50883000,LCN,Latin America and Caribbean,sp,2182415.5
ETH,all,,wb,3,govtsupport,National average,,98.696053,3058,1.6748009,,,1,,Ethiopia,ET,114964000,SSF,Sub-Saharan Africa,sp,58608560
IND,all,,yl,1,remotelearning,National average,,74.19175,1794,1.0333964,,,1,1,India (Andhra Pradesh & Telangana),IN,1380004000,SAS,South Asia,ed,237460992
IND,location,2,yl,1,fsec,Rural,,18.424633,16174,.30484819,,,1,1,India (Andhra Pradesh & Telangana),IN,1380004000,SAS,South Asia,hn,59480668
PHL,wealth,1,ipa,1,schoolreturn,Poorest 20%,,26.495728,117,4.0974646,,,1,1,Philippines,PH,109581000,EAS,East Asia and Pacific,ed,1080867
UGA,all,,wb,2,fsec,National average,,35.943851,2199,1.0234789,,,1,1,Uganda,UG,45741000,SSF,Sub-Saharan Africa,hn,8740426
PER,poor,1,yl,1,schoolreturn,Poor,,21.07843,204,2.8626547,,,1,1,Peru,PE,32972000,LCN,Latin America and Caribbean,ed,121178.85
PER,poor,1,yl,1,govtsupport,Poor,,38.709679,1085,1.4794186,,,1,1,Peru,PE,32972000,LCN,Latin America and Caribbean,sp,268451.56
MWI,all,,wb,3,schoolreturn,National average,,15.37365,1222,1.0322466,,,1,1,Malawi,MW,19130000,SSF,Sub-Saharan Africa,ed,1022538.9
BFA,poor,0,wb,2,govtsupport,Non poor,,97.796707,1377,.39572096,,,1,,Burkina Faso,BF,20903000,SSF,Sub-Saharan Africa,sp,7253616
TCD,all,,wb,1,govtsupport,National average,,95.658058,164,1.5962797,6,2020,1,1,Chad,TD,16426000,SSF,Sub-Saharan Africa,sp,8406897
GHA,wealth,5,ipa,1,healthseeking,Richest 20%,,8.2802544,314,1.5576903,,,1,1,Ghana,GH,31073000,SSF,Sub-Saharan Africa,hn,215813.66
SLE,wealth,5,ipa,1,govtsupport,Richest 20%,,95.111115,225,1.4407768,,,1,1,Sierra Leone,SL,7977000,SSF,Sub-Saharan Africa,sp,616738.19
DJI,poor,1,wb,1,healthseeking,Poor,,34.725502,158,3.7996728,,,1,1,Djibouti,DJ,988000,MEA,Middle East and North Africa,hn,71183.57
MLI,location,2,wb,5,healthseeking,Rural,,2.3489609,479,.69272691,,,1,1,Mali,ML,20251000,SSF,Sub-Saharan Africa,hn,95341.109
UGA,location,1,wb,1,remotelearning,Urban,,33.36145,427,2.2844436,,,1,1,Uganda,UG,45741000,SSF,Sub-Saharan Africa,ed,1358021.3
VNM,all,,wb,1,schoolreturn,National average,,1.7411118,3405,.2241838,6,2020,1,1,Vietnam,VN,97339000,EAS,East Asia and Pacific,ed,324080.19
RWA,wealth,5,ipa,1,remotelearning,Richest 20%,,25,40,6.9337525,,,1,1,Rwanda,RW,12952000,SSF,Sub-Saharan Africa,ed,54097.281
BFA,location,2,wb,2,govtsupport,Rural,,96.996582,664,.66287142,,,1,,Burkina Faso,BF,20903000,SSF,Sub-Saharan Africa,sp,3469132.5
RWA,location,1,ipa,1,healthseeking,Urban,,13.240741,1080,1.0318185,,,1,1,Rwanda,RW,12952000,SSF,Sub-Saharan Africa,hn,573911.56
